Timestamp,aa,bb,cc,dd,What was something new you learned from this presentation that you didn't know before?,What worked well for the presentation/presenter?,Suggestions for improvement. What are some changes would you advise the presenter to make their presentation more effective?,Additional comments for the speaker
10/30/2019 15:14,4,3,2,3,There are different resources that can be used to become a better programmer. you  need to spend time working on it every day even if it is for a short time.                                                ,He brought in his own experiences and what he has learned and what worked for him.  It would have been good if he said which resource worked best for him and why .                                          ,Use more details. pros and cons of each website and why he thinks they are pros and cons. more details on why these resources are important                                                                ,
10/30/2019 15:15,4,3,4,4,I learned more about the Pomodoro Technique. I am going to try to implement this method with my studies because I struggle with staying focused. Breaking work that I have to do into intervals could really improve my work flow. ,I feel like his power point was well put together and he had something visual  such as some lines of code too show us to make his presentation more appealing. I also liked that he implemented memes into his presentation. ,"It was bit hard to hear him from the back. Speaking a little bit louder could have made it easier for others in the back to hear what he was saying. Also, some of his slides could have had more information so that I could follow with what he was saying. ",
10/30/2019 15:17,5,2,5,5,Something new I learned from this presentation that I didn't know before that there are websites for code challenges where can you sharpen up your thinking skills. This will motivate me to go to these websites to start practicing.,I felt like the photos in his slides were really good. His slides had a lot of information where I was able to read most of because I couldn?€?t really hear much from the presentation. Other than that his PowerPoint was very informative.,One thing I would advise the presenter would suggest would be to speak a little louder because I had a hard time hearing him clearly. Also I would suggest to show the websites of these programming codes challenges so we are able to go to in our free time.,Great work !
10/30/2019 15:18,5,5,5,5,"tip 1, I knew it already. I am now focused on C#. He is right that more programming languages now, focus on one language now is much easier for us to learn, and done something. For the other tips, they really make me think deep for them. ","His topic opened my mind. Let me, a beginner, think deeply what we should do or focus on. emm...200 character is too much for this question, so I really do not know what to write for more. His topic is good.","If his voice becomes louder then it is much better for us to hear what he said. And seems like his presentation is a little bit less. he can add more for his presentation then it is much better, I think. ",
10/30/2019 15:20,3,3,3,3,"Majority of what was discussed in the presentation was what we sort of learned throughout the CS major, additionally I would say I learned what all CS majors or even individuals who want to code should do when starting out","What worked well was the memes, I think they were entertaining and it kept the audience to pay attention, the memes were relatable to most students in CS. Lastly, the outline of the presentation was straight forward.","What I would change is go more in depth as to what you should learn. What I mean by that is, if someone wants to become a front end developer or backend engineer or even a full stack developer. What specific technologies/languages should they get in to?",
10/30/2019 15:22,4,4,5,4,"Most of the tips that the presenter explained, I already knew before. However, he explained the tomato planner, which I have not heard of and will attempt applying it to my projects. The tomato planner is a plan in which you take 25 minutes to understand the code, 5 minutes to rest, 25minutes to write pseudocode, 5 minutes to rest and then 25minutes to write the code, and so on until your project is complete. ",The presenter knew his topic very well and organized it by tips to become a better programmer.  He organized each slide by the summary of the tip and then explained it on his own. He also gave examples of code and how each tip is applied. ,"I don?€?t really have any suggestions for improvement; I do however like that he included examples of websites in which we can apply all of these tips, by practicing our code. I will definitely implement these tips when I am working on a project,",
10/30/2019 15:23,5,4,5,2,"I knew most of the point the presenter made with his presentation, but one thing i didn't know in particular was methods or techniques that help you. One thing the presenter mentioned was Tomato technique to break down your time to solve some question. 25 minutes to understand the problem, 5 minutes testing, 25 minutes pseudocode,  5 minutes resting and 25 minutes to write the code. i never though of using techniques to break down my time to solve a problem.",The presenter used meme pictures to show a stereotypical programmer and it drove the point across by showing what a lazy or a bad programmer is like. The presenter also used code snippet examples of what undocumented code looks like vs how much easier it is to understand code when its documented. The presenter showed techniques to use to break down a problem into different times.,"The presenter did well with their presentation, but sometimes it was hard to understand what the speaker was saying because they talked a little low and fast but other than that the presenter had an organized presentation.",
11/1/2019 11:59,3,5,4,4,I have learned that a person should focus learning on one language rather than multiple. This helps the programmer be more efficient on one language instead of being inexperience on all of the other languages.,"The presenter was able to clearly explain each tip that he presented to us. He also gave us a small plan for tip #3, which is a breakdown of how a programmer should plan to write the code within a time limit.","Tip #2 and #4 should be combined into one tip because they both give the same advice, where people should practice programming to become better at it. Another improvement for the presenter is to make sure that there are not any typos in the presentation. I saw one of the slides said ""The more you do, it better"" rather than ""The more you do, the better.""",
11/2/2019 14:14,5,5,5,5,"Fo this presentation, I will learn the two states of every programmer and study the language. This presentation teach about create a personal website put in to the resume make the resume look better. Each program need plan the idea before to create the project.","For this presentation, the presenter teach us every programmer need spend 25 mins to write a pseudocode in each program. Presenter share his idea and experience for each programing language, and keep leaning new programming language.","For this presentation,  presenter should be give more background and video tell us more idea for be the better programmer.  Presenter should  be get some information about the programming language, and provide a little more detail about the presentation.",
11/2/2019 16:44,5,5,5,2,"The goal of the presentation was to give us some tips of how to become a better programmer. The presenter did a good job explaining the strategy to become a better programmer, however I already knew most of the explained material. Nevertheless I learned about some of the great tools/coding sources that I didn't know before like ""Tomato planner"" and ""Code Wars"". ","Some of the good methodologies the presenter used were:

- Clear explanation with useful tips
- Mentioned useful sources like hacker-rank, geek for geeks, code-wars and leetcode
- Used examples with code to demonstrate the importance of comments
- Sharing personal experience
- Used funny memes","While there is always room for improvement, I suppose that for this specific presentation the presenter covered all the content required to make us understand how to become a better programmer. I can't think of any suggestions to make this presentation more effective.",Excellent presentation with useful examples and tips. Thank you! 
11/3/2019 21:03,5,4,4,4,"I've learned that as programmers we need to plan for ourselves. The first step is to choose one language to master rather than multiple languages. In peacetime to do regular exercises, to maintain our state. In addition, challenge the difficulties bravely and think more. Use comments when writing code to help you remember and organize the program.","The presenter thinks and understands the content of the presentation very well, and is able to give the important content directly. The content has a great attraction for students. During the speech, a large number of practical examples were given to help students understand and learn.","I want the speaker to review more before the presentation. This can effectively improve the fluency of the presentation, and reduce the case of forgetting the content. It is best to give negative examples when making suggestions to show the benefits they can bring.",
11/4/2019 12:56,4,3,5,3,I did not learn a lot but it reminded me about mastering only one language and don't jump to other languages. That we need to get out of our comfy zone and we have to practice coding every day. Also Alex briefly reminded us that we need to plan before doing an actual coding. ,I would say that detailed slides worked really well because sometimes it was kind of hard to understand what Alex wanted to tell us. Also he gave us some very useful examples of the website where we can practice our coding for job interview.,"I would suggest to try to be more calm and talk a little slower. I understand that English is not his first language but he needs to try to speak more clearly and needs to stop using word ""like"" all the time.",
11/7/2019 21:45,5,5,5,5,"In order to be a good programmer we need to focus on one language first, get out the comfy zone, plan before you do. Understand the question first and try to write a  pseudo code. Introduced some website that help to write the code and do the practice question.",He gives example question form the website. And tell us how he solve the question step by step. Clear presentation of the topic. Lots of intuitive explanation of the topic.The Powerpoint is very clear and easy to read.,"Lecture style was slow. He can show more example of different kinds of interview questions. He could speak more slowly and the presentation will be vastly improved-- because the speed with which you speak affects all aspect of the presentation, including audience understanding and mood.  ",
